SavingsSource,Status,Amount,Backdated?,Diff,Created At,Confirmed At,Running Total
Independent,Outgoing,1000000.0,True,247,2014-09-17,2014-01-13,-1000000.0
Independent,Outgoing,490000.0,True,231,2014-09-18,2014-01-30,-1490000.0
GroupLoan,Incoming,15000.0,True,106,2014-07-11,2014-03-27,-1475000.0
GroupLoan,Incoming,15000.0,True,99,2014-07-11,2014-04-03,-1460000.0
GroupLoan,Incoming,15000.0,True,92,2014-07-11,2014-04-10,-1445000.0
GroupLoan,Incoming,15000.0,True,85,2014-07-11,2014-04-17,-1430000.0
GroupLoan,Incoming,15000.0,True,78,2014-07-11,2014-04-24,-1415000.0
GroupLoan,Incoming,15000.0,True,64,2014-07-11,2014-05-08,-1400000.0
Independent,Incoming,1500000.0,False,0,2014-05-18,2014-05-18,100000.0
GroupLoan,Incoming,15000.0,True,50,2014-07-11,2014-05-22,115000.0
GroupLoan,Incoming,15000.0,True,36,2014-07-11,2014-06-05,130000.0
GroupLoan,Incoming,15000.0,True,29,2014-07-11,2014-06-12,145000.0
GroupLoan,Incoming,15000.0,True,22,2014-07-11,2014-06-19,160000.0
GroupLoan,Incoming,15000.0,True,15,2014-07-11,2014-06-26,175000.0
GroupLoan,Incoming,15000.0,True,8,2014-07-11,2014-07-03,190000.0
GroupLoan,Incoming,15000.0,True,61,2014-09-09,2014-07-10,205000.0
GroupLoan,Incoming,15000.0,True,54,2014-09-09,2014-07-17,220000.0
GroupLoan,Incoming,15000.0,True,33,2014-09-09,2014-08-07,235000.0
GroupLoan,Incoming,15000.0,True,26,2014-09-09,2014-08-14,250000.0
GroupLoan,Incoming,15000.0,True,19,2014-09-09,2014-08-21,265000.0
GroupLoan,Incoming,15000.0,True,12,2014-09-09,2014-08-28,280000.0
GroupLoan,Incoming,15000.0,True,5,2014-09-09,2014-09-04,295000.0
GroupLoan,Incoming,15000.0,True,21,2014-10-02,2014-09-11,310000.0
GroupLoan,Incoming,15000.0,True,14,2014-10-02,2014-09-18,325000.0
GroupLoan,Incoming,15000.0,True,7,2014-10-02,2014-09-25,340000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-03,2014-10-02,355000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-10,2014-10-09,370000.0
GroupLoan,Incoming,15000.0,True,1,2014-10-17,2014-10-16,385000.0
GroupLoan,Incoming,20000.0,True,1,2014-10-31,2014-10-30,405000.0
GroupLoan,Incoming,20000.0,True,4,2014-11-10,2014-11-06,425000.0
Independent,Outgoing,400000.0,True,67,2015-01-12,2014-11-06,25000.0
Independent,Outgoing,400000.0,True,1,2014-11-07,2014-11-06,-375000.0
GroupLoan,Incoming,20000.0,True,1,2014-11-14,2014-11-13,-355000.0
GroupLoan,Incoming,20000.0,True,1,2014-11-21,2014-11-20,-335000.0
GroupLoan,Incoming,20000.0,True,1,2014-11-28,2014-11-27,-315000.0
GroupLoan,Incoming,20000.0,True,1,2014-12-05,2014-12-04,-295000.0
GroupLoan,Incoming,20000.0,True,1,2014-12-12,2014-12-11,-275000.0
GroupLoan,Incoming,100000.0,True,1,2014-12-19,2014-12-18,-175000.0
GroupLoan,Incoming,20000.0,True,8,2015-01-16,2015-01-08,-155000.0
Independent,Outgoing,200000.0,True,1,2015-01-13,2015-01-12,-355000.0
Independent,Incoming,2000000.0,True,1,2015-01-29,2015-01-28,1645000.0
Independent,Outgoing,2000000.0,True,1,2015-02-10,2015-02-09,-355000.0
Independent,Outgoing,40000.0,True,35,2015-04-13,2015-03-09,-395000.0
