Group No., Group Name,  Disbursement Date ,Total Disbursement
183,Kebantenan 183,2015-06-02T17:00:00.000Z,15300000.0
173,Angsana (3) 173,2015-06-02T17:00:00.000Z,16000000.0
182,Kebantenan (2) 182,2015-06-02T17:00:00.000Z,19000000.0
174,Beting (3) 174,2015-06-02T17:00:00.000Z,13300000.0
147,Kampung Sawah (2) 147,2015-06-03T17:00:00.000Z,8400000.0
286,Kampung Sawah (2) 286,2015-06-03T17:00:00.000Z,10500000.0
408,Jampea (3) 408,2015-06-04T17:00:00.000Z,10500000.0
355,Lorong 355,2015-06-04T17:00:00.000Z,15000000.0
488,Dault (2) 488,2015-06-04T17:00:00.000Z,13500000.0
71,Lorong 71,2015-06-04T17:00:00.000Z,19200000.0
487,Dault (2) 487,2015-06-04T17:00:00.000Z,15900000.0
168,Kapal 168 ,2015-06-07T17:00:00.000Z,16500000.0
225,Dewa Kembar (2) 225,2015-06-07T17:00:00.000Z,16800000.0
227,Kebantenan 227,2015-06-07T17:00:00.000Z,10800000.0
534,Tegal Kunir (2) 534,2015-06-07T17:00:00.000Z,10300000.0
18,Bebek (3) 18,2015-06-07T17:00:00.000Z,17700000.0
535,Tegal Kunir (2) 535,2015-06-07T17:00:00.000Z,8800000.0
847,Semprotan 847,2015-06-07T17:00:00.000Z,7000000.0
509,Kampung Sepat (2) 509,2015-06-08T17:00:00.000Z,13200000.0
857,Swasembada 857,2015-06-08T17:00:00.000Z,6800000.0
456,Mandiri (3) 456,2015-06-08T17:00:00.000Z,11700000.0
851,Tanah Merah 851,2015-06-08T17:00:00.000Z,7900000.0
157,UKA (3) 157,2015-06-08T17:00:00.000Z,17300000.0
507,Bulak Kecil (2) 507,2015-06-08T17:00:00.000Z,12500000.0
508,Al Bahar (2) 508,2015-06-08T17:00:00.000Z,14000000.0
21,Jalan B (3) 21,2015-06-08T17:00:00.000Z,17800000.0
510,Beting (2) 510,2015-06-08T17:00:00.000Z,8800000.0
849,BS 849,2015-06-08T17:00:00.000Z,8000000.0
856,Kebon Bawang 856,2015-06-08T17:00:00.000Z,6800000.0
317,Bulak Kecil 317 ,2015-06-08T17:00:00.000Z,13000000.0
492,Bulak Kecil (2) 492,2015-06-08T17:00:00.000Z,13200000.0
850,Kampung Sepat 850,2015-06-08T17:00:00.000Z,8000000.0
177,BS 177,2015-06-08T17:00:00.000Z,14600000.0
160,Bebek (3) 160,2015-06-09T17:00:00.000Z,12800000.0
136,Bundar (2) 136,2015-06-09T17:00:00.000Z,23500000.0
522,Sutim Djajat 522,2015-06-09T17:00:00.000Z,9600000.0
338,Kebon Rusun (2) 338,2015-06-09T17:00:00.000Z,10800000.0
336,Kebon Rusun (2) 336,2015-06-09T17:00:00.000Z,11800000.0
521,Sutim 521,2015-06-09T17:00:00.000Z,10400000.0
181,Macan (3) 181,2015-06-09T17:00:00.000Z,10800000.0
450,Rawa Indah (2) 450,2015-06-10T17:00:00.000Z,12100000.0
449,Rawa Indah (2) 449,2015-06-10T17:00:00.000Z,19000000.0
75,Macan (3) 75,2015-06-10T17:00:00.000Z,17900000.0
197,Landak (4) 197,2015-06-10T17:00:00.000Z,14400000.0
460,Mandiri (2) 460,2015-06-10T17:00:00.000Z,11000000.0
473,Rawa Indah (3) 473,2015-06-10T17:00:00.000Z,17200000.0
223,Lagoa (3) 223,2015-06-10T17:00:00.000Z,13600000.0
858,Lagter 858,2015-06-10T17:00:00.000Z,7800000.0
196,Macan (3) 196,2015-06-10T17:00:00.000Z,16300000.0
853,Lagter 853,2015-06-10T17:00:00.000Z,7300000.0
456,Mandiri (3) 456,2015-06-08T17:00:00.000Z,11700000.0
21,Jalan B (3) 21,2015-06-08T17:00:00.000Z,17800000.0
851,Tanah Merah 851,2015-06-08T17:00:00.000Z,7900000.0
849,BS 849,2015-06-08T17:00:00.000Z,8000000.0
510,Beting (2) 510,2015-06-08T17:00:00.000Z,8800000.0
856,Kebon Bawang 856,2015-06-08T17:00:00.000Z,6800000.0
850,Kampung Sepat 850,2015-06-08T17:00:00.000Z,8000000.0
177,BS 177,2015-06-08T17:00:00.000Z,14600000.0
160,Bebek (3) 160,2015-06-09T17:00:00.000Z,12800000.0
136,Bundar (2) 136,2015-06-09T17:00:00.000Z,23500000.0
521,Sutim 521,2015-06-09T17:00:00.000Z,10400000.0
336,Kebon Rusun (2) 336,2015-06-09T17:00:00.000Z,11800000.0
522,Sutim Djajat 522,2015-06-09T17:00:00.000Z,9600000.0
338,Kebon Rusun (2) 338,2015-06-09T17:00:00.000Z,10800000.0
181,Macan (3) 181,2015-06-09T17:00:00.000Z,10800000.0
75,Macan (3) 75,2015-06-10T17:00:00.000Z,17900000.0
306,Lagter 306,2015-06-10T17:00:00.000Z,11000000.0
520,Mandiri (2) 520,2015-06-10T17:00:00.000Z,11300000.0
205,Lagoa (3) 205,2015-06-10T17:00:00.000Z,14700000.0
450,Rawa Indah (2) 450,2015-06-10T17:00:00.000Z,12100000.0
197,Landak (4) 197,2015-06-10T17:00:00.000Z,14400000.0
460,Mandiri (2) 460,2015-06-10T17:00:00.000Z,11000000.0
473,Rawa Indah (3) 473,2015-06-10T17:00:00.000Z,17200000.0
223,Lagoa (3) 223,2015-06-10T17:00:00.000Z,13600000.0
858,Lagter 858,2015-06-10T17:00:00.000Z,7800000.0
196,Macan (3) 196,2015-06-10T17:00:00.000Z,16300000.0
853,Lagter 853,2015-06-10T17:00:00.000Z,7300000.0
164,Lagoa (3) 164,2015-06-10T17:00:00.000Z,12900000.0
449,Rawa Indah (2) 449,2015-06-10T17:00:00.000Z,19000000.0
79,Landak (4) 79,2015-06-10T17:00:00.000Z,27000000.0
475,Kobra (3) 475,2015-06-11T17:00:00.000Z,14000000.0
860,Sungai Bambu 860,2015-06-11T17:00:00.000Z,7900000.0
206,Lagoa (3) 206,2015-06-11T17:00:00.000Z,18500000.0
854,Swasembada Timur 854,2015-06-11T17:00:00.000Z,7200000.0
474,Kobra (3) 474,2015-06-11T17:00:00.000Z,12100000.0
443,Lagter (2) 443,2015-06-11T17:00:00.000Z,15400000.0
861,Sungai Bambu 861,2015-06-11T17:00:00.000Z,7100000.0
855,Swasembada Barat 855,2015-06-11T17:00:00.000Z,8500000.0
349,Kavling (2) 349,2015-06-14T17:00:00.000Z,19500000.0
523,Waru (2) 523,2015-06-14T17:00:00.000Z,8300000.0
862,Mundu 862,2015-06-14T17:00:00.000Z,8800000.0
40,Kavling (2) 40,2015-06-14T17:00:00.000Z,23500000.0
191,Bulak A 191,2015-06-15T17:00:00.000Z,17500000.0
190,Bulak A 190 ,2015-06-15T17:00:00.000Z,20500000.0
859,Lontar 859,2015-06-15T17:00:00.000Z,7800000.0
247,Lorong (2) 247,2015-06-16T17:00:00.000Z,13100000.0
502,Dukuh (2) 502,2015-06-16T17:00:00.000Z,13800000.0
234,Pelabuhan (4) 234,2015-06-16T17:00:00.000Z,20000000.0
203,Manggar (2) 203,2015-06-16T17:00:00.000Z,17700000.0
202,Manggar (3) 202,2015-06-16T17:00:00.000Z,16300000.0
197,Landak (4) 197,2015-06-10T17:00:00.000Z,14400000.0
75,Macan (3) 75,2015-06-10T17:00:00.000Z,17900000.0
450,Rawa Indah (2) 450,2015-06-10T17:00:00.000Z,12100000.0
205,Lagoa (3) 205,2015-06-10T17:00:00.000Z,14700000.0
306,Lagter 306,2015-06-10T17:00:00.000Z,11000000.0
443,Lagter (2) 443,2015-06-11T17:00:00.000Z,15400000.0
475,Kobra (3) 475,2015-06-11T17:00:00.000Z,14000000.0
861,Sungai Bambu 861,2015-06-11T17:00:00.000Z,7100000.0
855,Swasembada Barat 855,2015-06-11T17:00:00.000Z,8500000.0
474,Kobra (3) 474,2015-06-11T17:00:00.000Z,12100000.0
854,Swasembada Timur 854,2015-06-11T17:00:00.000Z,7200000.0
206,Lagoa (3) 206,2015-06-11T17:00:00.000Z,18500000.0
860,Sungai Bambu 860,2015-06-11T17:00:00.000Z,7900000.0
862,Mundu 862,2015-06-14T17:00:00.000Z,8800000.0
40,Kavling (2) 40,2015-06-14T17:00:00.000Z,23500000.0
349,Kavling (2) 349,2015-06-14T17:00:00.000Z,19500000.0
523,Waru (2) 523,2015-06-14T17:00:00.000Z,8300000.0
859,Lontar 859,2015-06-15T17:00:00.000Z,7800000.0
190,Bulak A 190 ,2015-06-15T17:00:00.000Z,20500000.0
191,Bulak A 191,2015-06-15T17:00:00.000Z,17500000.0
247,Lorong (2) 247,2015-06-16T17:00:00.000Z,13100000.0
202,Manggar (3) 202,2015-06-16T17:00:00.000Z,16300000.0
203,Manggar (2) 203,2015-06-16T17:00:00.000Z,17700000.0
271,Jalan F (3) 271,2015-06-16T17:00:00.000Z,17600000.0
234,Pelabuhan (4) 234,2015-06-16T17:00:00.000Z,20000000.0
502,Dukuh (2) 502,2015-06-16T17:00:00.000Z,13800000.0
533,Lorong (2) 533,2015-06-16T17:00:00.000Z,14100000.0
331,Sindang (2) 331,2015-06-16T17:00:00.000Z,9600000.0
209,Blok R (3) 209,2015-06-17T17:00:00.000Z,15800000.0
485,Karya (3) 485,2015-06-17T17:00:00.000Z,21500000.0
867,Sungai Landak 867,2015-06-17T17:00:00.000Z,8400000.0
504,Rusun Marunda (2) 504,2015-06-17T17:00:00.000Z,12500000.0
269,Jalan F (3) 269,2015-06-17T17:00:00.000Z,20500000.0
503,Marunda 503,2015-06-17T17:00:00.000Z,12100000.0
511,Belimbing (2) 511,2015-06-17T17:00:00.000Z,11300000.0
848,Beting 848,2015-06-17T17:00:00.000Z,6200000.0
186,Sungai Landak 186,2015-06-17T17:00:00.000Z,11700000.0
32,Jalan F (3) 32,2015-06-17T17:00:00.000Z,16500000.0
208,Beting (3) 208,2015-06-17T17:00:00.000Z,15800000.0
469,Beting (2) 469,2015-06-17T17:00:00.000Z,16500000.0
484,Merdeka (3) 484,2015-06-17T17:00:00.000Z,17500000.0
864,Tanah Merah 864,2015-06-18T17:00:00.000Z,7600000.0
863,Tanah Merah 863,2015-06-18T17:00:00.000Z,7400000.0
480,Teladan (3) 480,2015-06-21T17:00:00.000Z,14700000.0
479,Teladan (3) 479,2015-06-21T17:00:00.000Z,9700000.0
873,Cemara 873,2015-06-22T17:00:00.000Z,7200000.0
526,Marunda (2) 526,2015-06-22T17:00:00.000Z,13300000.0
23,Mawar (2) 23,2015-06-22T17:00:00.000Z,11100000.0
291,Mawar (2) 291,2015-06-22T17:00:00.000Z,15300000.0
527,Marunda (2) 527,2015-06-22T17:00:00.000Z,11800000.0
502,Dukuh (2) 502,2015-06-16T17:00:00.000Z,13800000.0
533,Lorong (2) 533,2015-06-16T17:00:00.000Z,14100000.0
331,Sindang (2) 331,2015-06-16T17:00:00.000Z,9600000.0
209,Blok R (3) 209,2015-06-17T17:00:00.000Z,15800000.0
485,Karya (3) 485,2015-06-17T17:00:00.000Z,21500000.0
867,Sungai Landak 867,2015-06-17T17:00:00.000Z,8400000.0
504,Rusun Marunda (2) 504,2015-06-17T17:00:00.000Z,12500000.0
269,Jalan F (3) 269,2015-06-17T17:00:00.000Z,20500000.0
503,Marunda 503,2015-06-17T17:00:00.000Z,12100000.0
511,Belimbing (2) 511,2015-06-17T17:00:00.000Z,11300000.0
848,Beting 848,2015-06-17T17:00:00.000Z,6200000.0
186,Sungai Landak 186,2015-06-17T17:00:00.000Z,11700000.0
32,Jalan F (3) 32,2015-06-17T17:00:00.000Z,16500000.0
208,Beting (3) 208,2015-06-17T17:00:00.000Z,15800000.0
469,Beting (2) 469,2015-06-17T17:00:00.000Z,16500000.0
484,Merdeka (3) 484,2015-06-17T17:00:00.000Z,17500000.0
864,Tanah Merah 864,2015-06-18T17:00:00.000Z,7600000.0
863,Tanah Merah 863,2015-06-18T17:00:00.000Z,7400000.0
480,Teladan (3) 480,2015-06-21T17:00:00.000Z,14700000.0
479,Teladan (3) 479,2015-06-21T17:00:00.000Z,9700000.0
873,Cemara 873,2015-06-22T17:00:00.000Z,7200000.0
526,Marunda (2) 526,2015-06-22T17:00:00.000Z,13300000.0
23,Mawar (2) 23,2015-06-22T17:00:00.000Z,11100000.0
291,Mawar (2) 291,2015-06-22T17:00:00.000Z,15300000.0
527,Marunda (2) 527,2015-06-22T17:00:00.000Z,11800000.0
532,Kampung Sawah 532,2015-06-22T17:00:00.000Z,11800000.0
870,Kebon Bawang 870,2015-06-22T17:00:00.000Z,6600000.0
871,Kebon Bawang 871,2015-06-22T17:00:00.000Z,11000000.0
494,Kebon Baru (2) 494,2015-06-22T17:00:00.000Z,16000000.0
